name,rate_of_the_hotel,location_rating,comfort,staff,desk_24/7,rate_of_facilities,swimming_pool,bar,wifi,value_for_money,parking,Elevator,Cleanliness,Babysitting_Child_services,Sauna,pets,Wheelchair_accessible,safe,city,sum of facilities,sum of services
Prati 25.7 Suites in Rome,8.7,9.4,9.1,9.0,0,8.7,0,0,1,8.5,0,0,9.0,0,0,0,0,1,Rome,1,1
A Casa di Leonardo II,8.9,9.4,9.0,8.8,0,8.6,0,0,1,8.8,0,0,9.1,0,0,0,0,0,Rome,0,1
Sonnino Suite,8.8,9.6,9.1,9.3,0,8.6,0,1,1,8.9,0,0,9.1,0,0,0,0,1,Rome,2,1
Domus Porta Angelica,8.8,9.7,9.1,9.0,0,8.6,0,0,1,9.0,0,1,9.0,0,0,0,0,1,Rome,2,1
Nazionale Palace Suites,8.7,9.4,9.1,9.2,0,8.7,0,0,1,8.9,0,0,9.1,0,0,0,0,0,Rome,0,1
Campo Marzio Hotelier,7.7,9.4,8.4,8.6,0,7.6,0,0,1,7.9,0,0,8.5,0,0,0,0,1,Rome,1,1
Stardust Rome,8.6,9.3,8.6,9.2,0,8.5,0,1,1,8.7,0,0,8.7,0,0,0,0,1,Rome,2,1
Imperial Rooms,7.5,9.5,7.9,8.1,0,7.4,0,0,1,7.4,1,1,8.2,0,0,1,0,1,Rome,3,2
St. Peter Fortytwo,9.3,9.7,9.5,9.5,0,9.3,0,0,1,9.2,0,0,9.6,0,0,0,0,1,Rome,1,1
Casa Terrazza Colosseo,9.5,9.9,9.3,9.6,0,9.5,0,0,1,9.1,0,0,9.6,0,1,0,0,1,Rome,2,1
Luxury barberini boutique Apartment,7.4,9.6,7.3,8.0,0,7.2,0,0,1,7.7,0,1,6.9,0,0,1,0,0,Rome,1,2
Boutique Hotel Atelier '800,8.6,9.5,9.1,9.3,0,8.3,0,0,1,8.6,0,0,9.1,0,0,0,0,1,Rome,1,1
Magenta Superior Purificazione 69,7.9,9.5,8.0,8.8,0,7.8,0,1,1,8.5,0,0,8.0,0,0,0,0,0,Rome,1,1
Trevi Rome Suite,8.7,9.8,8.9,9.1,0,8.4,0,1,1,8.6,0,0,8.9,0,0,0,0,1,Rome,2,1
Trastevere Suites Collection,8.7,9.3,9.1,9.3,0,8.5,0,0,1,8.8,0,0,9.1,0,0,0,0,0,Rome,0,1
Adrianus Hotel,8.7,9.4,9.2,9.3,0,8.7,0,0,1,9.0,0,0,9.2,0,0,0,0,1,Rome,1,1
Palma Residences In Rome,7.4,8.5,7.5,8.1,0,7.3,0,1,1,8.1,0,0,7.6,0,0,0,0,1,Rome,2,1
Ingrami Suites and Spa,8.1,9.7,8.6,8.9,0,8.0,0,0,1,8.3,1,0,8.5,0,1,0,0,1,Rome,3,1
