name,rate_of_the_hotel,location_rating,comfort,staff,desk_24/7,rate_of_facilities,swimming_pool,bar,wifi,value_for_money,parking,Elevator,Cleanliness,Babysitting_Child_services,Sauna,pets,Wheelchair_accessible,safe,city,sum of facilities,sum of services
Double Room with Private Balcony,9.0,9.3,9.1,9.7,0,8.8,0,0,1,9.3,0,1,9.0,0,0,0,0,0,London,1,1
The Beverley Hotel London - Victoria,7.6,9.0,8.1,8.7,0,7.5,0,0,1,7.5,0,0,8.0,0,0,0,0,1,London,1,1
"Innkeeper's Lodge London, Dulwich",8.3,9.0,8.9,8.7,0,8.4,0,1,1,8.3,0,0,8.9,0,0,0,0,0,London,1,1
St Katherine Docks Motor boat or Sailboat,9.6,10.0,9.6,10.0,0,9.5,0,1,0,9.5,1,0,9.7,0,0,0,0,0,London,2,0
The Moorgate by COVE,9.0,9.5,9.3,9.3,0,9.1,0,1,1,8.6,0,1,9.3,0,0,1,0,1,London,3,2
easyHotel London City Shoreditch,6.8,8.4,7.3,8.7,1,6.7,0,0,1,7.2,0,1,7.5,0,0,1,1,0,London,1,4
The Adria,9.3,9.5,9.6,9.6,0,9.2,0,1,1,8.6,0,1,9.6,1,1,0,0,1,London,4,2
The Goring,9.3,9.5,9.7,9.7,0,9.3,0,1,1,8.4,1,1,9.7,1,0,0,0,1,London,4,2
44 Curzon Street by Mansley,8.5,9.8,8.7,9.3,0,8.3,0,0,1,8.4,0,1,8.7,0,0,0,0,1,London,2,1
Soulful Central London Apartment,8.9,9.6,8.6,8.6,0,8.9,0,0,1,8.2,0,1,9.1,0,0,0,0,0,London,1,1
Gladstone Park Guest House,8.4,8.1,8.8,8.5,0,8.5,0,0,1,8.7,0,0,8.9,0,0,0,0,0,London,0,1
"art'otel London Battersea Power Station, Powered by Radisson Hotels",8.5,9.5,9.3,9.3,1,8.5,1,1,0,7.8,0,1,9.2,0,1,0,0,0,London,4,1
Brick Lane Base,7.5,8.5,7.9,7.9,0,7.7,0,0,1,7.9,1,0,8.5,0,0,0,0,0,London,1,1
Morton Hotel,7.9,9.2,8.7,8.2,1,7.7,0,1,0,7.1,1,0,8.4,0,0,1,0,0,London,2,2
Kensington Mansions Apartment,9.5,10.0,10.0,10.0,0,10.0,0,0,1,10.0,1,0,10.0,0,0,1,0,0,London,1,2
"St. James' Court, A Taj Hotel, London",8.7,9.4,9.1,9.3,1,8.8,0,1,1,8.2,1,1,9.1,1,1,0,0,1,London,5,3
Roseate House London,8.5,9.3,9.1,9.2,0,8.5,0,1,1,8.2,1,1,9.1,0,0,1,0,1,London,4,2
ApartaSuites Emerald,6.6,8.9,6.7,8.0,0,6.7,0,0,1,7.1,0,0,6.6,0,0,1,0,0,London,0,2
The Z Hotel City,7.8,9.1,8.3,8.8,1,7.8,0,1,1,7.9,0,1,8.4,0,0,0,1,0,London,2,3
Brookview Guest House,8.7,8.7,9.1,9.2,0,8.7,1,0,1,9.0,0,0,9.2,0,0,0,0,0,London,1,1
Stylish 3 bedroom town house,8.6,9.8,8.8,9.0,0,8.6,0,0,1,8.4,0,0,8.8,0,0,0,0,0,London,0,1
ibis London Earls Court,7.3,8.4,7.7,8.3,1,7.3,0,1,1,7.8,1,1,7.7,0,0,1,1,1,London,4,4
"Crowne Plaza London - Docklands, an IHG Hotel",7.9,8.6,8.6,8.5,1,8.1,1,1,1,7.7,1,1,8.5,0,1,0,0,1,London,6,2
St Simeon,8.1,9.4,8.0,9.4,0,7.6,0,0,1,8.5,0,1,8.2,0,0,0,0,0,London,1,1
Ashburn Hotel,8.2,9.2,8.7,9.0,0,7.7,0,0,1,8.1,0,1,8.7,0,0,0,0,1,London,2,1
Brixton Apartments,6.8,8.2,7.6,7.0,0,7.5,0,0,1,6.8,0,0,7.7,0,0,1,0,0,London,0,2
Mondrian London Shoreditch,8.6,9.1,9.4,9.0,1,8.9,1,1,1,8.0,0,1,9.4,1,0,1,1,0,London,3,5
ibis London Canning Town,8.8,9.1,9.1,9.3,1,8.8,0,1,1,8.6,0,1,9.2,0,0,1,1,1,London,3,4
Wns HOTEL,6.0,7.8,6.7,7.5,0,6.2,0,0,1,6.8,1,0,6.7,0,0,0,0,0,London,1,1
Stylish Apartments in Pimlico & Westminster,7.4,9.1,7.6,7.9,0,7.3,0,0,1,7.4,0,0,7.6,0,0,0,0,0,London,0,1
Clayton Hotel Chiswick,8.4,8.8,9.0,8.8,1,8.6,0,1,1,8.2,1,1,8.9,0,0,0,0,1,London,4,2
Citadines South Kensington London,7.8,9.3,8.0,8.7,1,7.7,0,0,1,7.5,0,1,8.0,0,0,1,1,1,London,2,4
Sheriff Hotel,5.8,8.6,6.2,7.3,0,5.9,0,0,1,6.7,0,0,6.1,0,0,0,0,0,London,0,1
City Rooms,6.9,8.6,7.3,8.5,0,7.1,0,0,1,7.5,0,0,7.3,0,0,0,0,0,London,0,1
"Townhouse Tower Bridge, 2 baths & free parking",9.5,10.0,10.0,10.0,0,10.0,0,1,1,8.8,0,0,8.8,0,0,0,0,1,London,2,1
"Hi-End 2BR, 2BR Apt, Heart of Canary Wharf",8.0,10.0,7.5,10.0,0,7.5,0,1,1,10.0,0,1,7.5,0,0,0,1,0,London,2,2
Mentone Hotel - B&B,7.7,9.2,8.0,8.5,0,7.5,0,0,1,7.8,0,0,8.2,0,0,0,0,1,London,1,1
GREATER LONDON HOLIDAY LET @ HANWELL,7.2,7.3,7.4,7.8,0,7.5,0,0,1,7.4,1,0,7.4,0,0,1,0,0,London,1,2
25 Idmiston Road,8.1,8.1,8.3,8.5,0,8.3,0,0,1,8.5,1,0,8.3,0,0,0,0,0,London,1,1
City Sparrow Apartments 6,5.9,7.3,6.7,7.6,0,6.4,0,0,1,6.9,1,0,6.4,0,0,1,0,0,London,1,2
Pods of Kings Cross - 6,8.5,8.9,8.6,9.8,0,8.6,0,0,1,8.9,0,0,9.5,0,0,0,0,0,London,0,1
St James' Apartments,8.0,9.4,6.9,7.8,0,6.9,0,0,1,7.5,1,1,6.9,0,0,0,1,0,London,2,2
"Hotel Indigo London Hyde Park Paddington, an IHG Hotel",7.5,9.0,8.2,8.4,1,7.7,0,1,1,7.3,1,1,8.2,0,0,0,0,1,London,4,2
Stylish 1-bed flat. Zone1/2. Earls Court.Shortlet.,10.0,9.204795737122536,8.653108348134985,8.980772646536419,0,8.372735346358793,0,0,1,8.330506216696257,0,0,8.686589698046161,0,0,0,0,0,London,0,1
The Soho Studio - Modern & Central 2BDR,7.5,8.5,7.9,7.4,0,8.0,0,0,1,7.6,1,0,8.1,0,0,0,0,0,London,1,1
Luxury Apartments in Westminster,7.3,8.8,7.5,7.3,0,7.2,0,0,1,7.2,0,1,7.4,0,0,0,0,0,London,1,1
Limehouse Library Hotel,8.8,8.4,9.3,9.6,0,9.1,0,1,1,8.5,0,0,9.6,0,1,0,0,0,London,2,1
Mornington Hotel London Victoria,7.6,8.8,8.2,8.8,0,7.7,0,0,1,7.9,0,0,8.2,0,0,0,0,1,London,1,1
Modern 2 bed Angel apartment,8.390776053215099,9.204795737122536,8.653108348134985,8.980772646536419,0,8.372735346358793,0,0,1,8.330506216696257,0,0,8.686589698046161,0,0,0,0,0,London,0,1
Presidential Apartments Kensington,7.9,9.1,8.2,8.7,1,7.8,0,0,1,7.8,0,1,8.2,0,0,0,0,1,London,2,2
Victoria Inn,8.7,8.7,9.2,9.6,0,8.9,0,1,1,8.6,0,0,9.3,0,0,0,0,0,London,1,1
The Dirty Liquor Hotel at The Cherry,8.0,8.6,8.4,9.1,0,8.2,0,1,1,8.2,0,0,8.5,0,0,0,0,0,London,1,1
London City Airport Hotel,7.5,8.3,8.1,8.5,0,7.5,0,1,1,7.7,1,1,8.0,0,1,0,0,1,London,5,1
Studio - Tower Hill - City Centre by Prime London Stays N-1,8.390776053215099,9.204795737122536,8.653108348134985,8.980772646536419,0,8.372735346358793,0,0,1,8.330506216696257,0,1,8.686589698046161,0,0,0,0,0,London,1,1
Paddington Park Hotel,7.8,9.1,8.2,8.7,0,7.7,0,0,1,8.0,0,0,8.3,0,0,0,0,0,London,0,1
Tulse Hill Hotel,8.1,8.5,8.6,9.1,0,8.3,0,1,1,8.0,1,0,8.6,0,0,0,0,1,London,3,1
Rochester Hotel by Blue Orchid,7.1,8.8,7.6,8.2,0,7.0,0,1,1,7.0,0,1,7.7,0,0,0,0,1,London,3,1
The Hay Stables - Stones throw to Oxford Street,8.8,9.8,9.1,8.9,0,8.9,0,0,1,8.4,0,0,9.1,0,0,0,0,0,London,0,1
Point A Hotel London Canary Wharf,8.2,8.9,8.6,9.0,0,8.2,0,0,1,8.3,0,1,8.7,0,0,0,1,1,London,2,2
Onslow Maisonette,7.5,7.6,8.2,8.0,0,7.7,0,0,1,7.7,1,0,7.8,0,0,0,0,0,London,1,1
37 Doughty Street,8.5,9.1,8.9,8.1,0,8.8,0,0,1,7.9,0,1,8.9,0,0,0,0,1,London,2,1
TRIBE London Canary Wharf,8.2,9.0,8.8,8.6,1,8.4,0,1,1,7.7,0,1,8.9,0,0,1,1,1,London,3,4
Elite space,9.3,9.2,10.0,10.0,0,9.2,0,0,1,10.0,1,0,10.0,0,0,0,0,0,London,1,1
Chelsea and Hammersmith City Apartments - 11,9.0,8.6,8.6,8.9,0,8.9,0,0,1,8.6,0,1,8.9,0,0,1,0,0,London,1,2
Troy Hotel,7.7,9.1,8.0,8.4,0,7.5,0,0,1,8.0,0,1,8.2,0,0,0,0,1,London,2,1
SACO Holborn – Lamb’s Conduit St,8.3,9.1,8.7,8.9,0,8.5,0,0,1,8.3,1,1,8.7,0,0,0,0,1,London,3,1
Double room in Central London- 7,4.3,9.7,5.3,5.6,0,3.9,0,0,0,5.0,0,0,4.7,0,0,0,0,0,London,0,0
Fairway Hotel,7.7,9.4,7.8,9.1,0,7.4,0,0,1,7.8,0,1,8.0,0,0,0,0,1,London,2,1
StayInn Holborn,7.1,8.2,7.9,6.2,0,7.5,0,0,0,7.3,0,0,7.9,0,0,0,0,0,London,0,0
D8 - Hoxton Square Penthouse,8.0,9.1,8.3,8.6,0,8.0,0,1,1,7.9,0,1,8.2,0,0,0,0,0,London,2,1
The Omega Hotel,7.8,9.1,8.1,9.1,0,7.3,0,0,1,7.4,1,1,8.5,0,0,0,0,1,London,3,1
Northside Apartments Ealing,9.1,9.2,9.3,9.6,0,9.5,0,0,1,8.6,0,1,9.4,0,0,0,0,0,London,1,1
Cromwell International Hotel,4.4,8.0,5.0,6.2,0,4.8,0,0,1,5.9,0,1,4.9,0,0,0,0,0,London,1,1
The Cleveland,8.1,8.9,8.6,9.0,0,8.1,0,0,1,8.2,1,1,8.7,0,0,0,1,1,London,3,2
Sonder Kensington Gardens,7.8,9.3,8.5,8.3,0,7.7,0,0,1,7.8,0,1,8.4,0,0,0,0,0,London,1,1
"The Lanesborough, Oetker Collection",9.5,9.7,9.8,9.8,0,9.6,1,1,1,8.8,1,1,9.7,1,1,1,0,1,London,6,3
AV Stays London Bridge 2 Bed Apartment,10.0,10.0,10.0,10.0,0,9.2,0,0,1,10.0,1,1,10.0,0,0,1,0,0,London,2,2
Stunning Westminster Apartment,8.390776053215099,9.204795737122536,8.653108348134985,8.980772646536419,0,8.372735346358793,0,0,1,8.330506216696257,0,1,8.686589698046161,0,0,0,0,0,London,1,1
Luxury studio with balcony and 24/7 security in central London.,10.0,10.0,10.0,10.0,0,10.0,0,0,0,10.0,0,0,10.0,0,0,0,0,0,London,0,0
Fox Connaught London ExCel,7.3,8.4,7.8,8.3,0,7.1,0,1,1,7.6,0,0,7.9,0,0,0,0,1,London,2,1
Novotel London Waterloo,7.9,8.7,8.2,8.6,1,8.0,0,1,1,7.6,1,1,8.2,0,1,1,0,1,London,5,3
Fox and Grapes,8.3,9.0,8.8,9.1,0,8.3,0,1,1,8.2,0,0,8.7,0,0,0,0,0,London,1,1
Covent Garden Apartments,6.7,9.3,7.7,6.4,0,7.2,0,0,0,7.4,0,0,7.4,0,0,0,0,0,London,0,0
"Sunny 2 bedroom, 2 bathroom Apartment with Roof Terrace",9.5,10.0,8.8,8.8,0,8.8,0,0,1,8.8,0,0,8.8,0,0,0,0,0,London,0,1
"Cosy flat with free parking, close to East Finchley & Muswell Hill",9.6,9.8,10.0,10.0,0,10.0,0,0,0,9.1,1,0,10.0,1,0,0,0,0,London,1,1
Angel Townhouse,8.1,8.6,8.7,8.6,0,8.3,0,0,1,8.4,0,0,8.7,0,0,0,0,0,London,0,1
Leinster Gardens 3A - 2 Bed Apartment,10.0,10.0,10.0,10.0,0,10.0,0,0,1,10.0,0,1,10.0,0,0,0,0,0,London,1,1
Roland House Apartments,6.9,8.8,7.2,7.4,1,7.0,0,0,1,6.9,0,1,7.1,0,1,0,0,1,London,3,2
Super location 1min from metro 10min from Camden,8.8,9.0,8.7,9.5,0,8.6,0,0,1,8.6,0,0,8.7,0,0,1,0,0,London,0,2
NOX Golders Green,8.2,8.5,8.3,8.6,1,8.4,0,0,1,8.5,0,0,8.3,0,0,0,0,1,London,1,2
Chelsea House Hotel - B&B,7.7,9.0,7.8,8.7,0,7.6,0,0,1,8.3,0,0,7.9,0,0,0,0,0,London,0,1
"The Soho Hotel, Firmdale Hotels",9.4,9.6,9.7,9.7,0,9.5,0,1,1,8.6,1,1,9.8,1,0,0,1,1,London,4,3
"Haymarket Hotel, Firmdale Hotels",9.4,9.8,9.8,9.7,0,9.5,1,1,1,8.1,1,1,9.8,1,0,0,0,1,London,5,2
"Newly refurbished flat in camberwell, london",8.5,7.5,8.1,10.0,0,8.8,0,0,0,9.4,0,0,9.4,0,0,0,0,0,London,0,0
Simply Rooms & Suites,7.2,8.5,7.4,8.1,0,7.2,0,0,1,7.7,0,0,7.4,0,0,0,0,1,London,1,1
Grange Blooms Hotel,7.0,9.1,7.5,8.2,0,7.0,0,0,1,7.4,0,1,7.6,0,0,0,0,0,London,1,1
Aspen Hotel,7.3,9.1,7.6,8.7,0,7.2,0,0,1,7.6,1,1,7.7,0,0,0,0,0,London,2,1
The Victoria,7.5,8.6,7.8,8.6,0,7.4,0,1,1,7.4,0,0,7.7,0,0,0,0,0,London,1,1
Novotel London Blackfriars,8.2,9.0,8.7,8.8,1,8.5,1,1,1,7.8,0,1,8.6,0,0,1,1,0,London,3,4
Fusion Apartments,7.8,8.8,9.2,8.3,0,7.9,0,1,1,8.3,0,1,9.2,0,0,1,0,1,London,3,2
Royal Docks Penthouse,8.7,9.2,8.9,9.2,0,8.2,0,0,1,7.7,1,1,8.1,0,0,0,0,0,London,2,1
Andaz London Liverpool Street - a Concept by Hyatt,8.8,9.4,9.4,9.4,1,9.0,0,1,1,8.2,0,1,9.3,1,0,1,0,1,London,3,4
Happy Land,9.7,9.2,8.9,10.0,0,8.9,0,0,1,9.6,0,0,9.2,0,0,0,0,0,London,0,1
Earl's Court by CAPITAL,5.8,7.3,6.9,6.1,0,6.4,0,0,1,6.0,0,1,6.5,0,0,0,0,0,London,1,1
York & Albany,8.6,9.3,9.0,9.7,0,8.5,0,1,1,8.0,0,1,9.0,0,0,0,0,1,London,3,1
Hyatt Regency London Stratford,8.1,9.2,8.9,8.7,1,8.3,0,1,1,7.7,1,1,8.7,0,0,0,1,1,London,4,3
Hilton London Tower Bridge,8.7,9.5,9.2,9.1,1,8.8,0,1,1,8.3,0,1,9.1,0,0,0,1,1,London,3,3
Amazing London,9.0,8.7,9.3,9.4,0,9.2,0,0,1,8.9,1,0,9.4,0,0,0,0,0,London,1,1
Wimbledon Studios,8.6,9.5,8.8,9.2,0,8.9,0,0,1,8.7,0,0,9.4,0,0,1,0,0,London,0,2
Stylish and well equipped flat in Stockwell,8.0,7.5,7.5,10.0,0,10.0,0,0,1,7.5,1,0,10.0,0,0,1,0,0,London,1,2
Manhattan-style 2bed near Camden Free WiFi,8.3,9.3,9.0,8.6,0,8.3,0,0,0,8.0,0,1,8.3,0,0,0,0,0,London,1,0
Chiswick Riviera,8.9,9.3,8.9,9.7,0,8.6,0,0,1,9.0,0,0,8.9,0,0,0,0,0,London,0,1
Ennismore Garden Mews,8.390776053215099,9.204795737122536,8.653108348134985,8.980772646536419,1,8.372735346358793,0,0,1,8.330506216696257,0,0,8.686589698046161,0,0,0,0,0,London,0,2
"Central London Warwick Sq,",8.390776053215099,9.204795737122536,8.653108348134985,8.980772646536419,0,8.372735346358793,0,0,1,8.330506216696257,0,1,8.686589698046161,0,0,0,0,0,London,1,1
Marlin Apartments Commercial Road - Limehouse,6.9,7.2,7.3,7.8,1,7.2,0,0,1,6.7,0,1,7.2,0,0,0,0,0,London,1,2
Self-catering fully equipped apartment in Vauxhall,8.7,8.3,9.2,10.0,0,10.0,0,0,1,9.2,1,1,10.0,0,0,1,0,0,London,2,2
Eurostar Rooms,6.6,8.4,7.2,8.2,0,6.8,0,0,1,7.3,0,0,7.5,0,0,0,0,0,London,0,1
The Franklin London - Starhotels Collezione,8.6,9.6,9.2,9.3,1,8.5,0,1,1,8.0,0,1,9.0,1,0,1,0,1,London,3,4
Cheval Harrington Court at South Kensington,9.3,9.7,9.6,9.7,1,9.3,0,0,1,8.6,0,1,9.6,1,0,0,0,1,London,2,3
"Shangri-La The Shard, London",9.0,9.5,9.6,9.3,1,9.2,1,1,1,7.9,1,1,9.5,1,1,1,1,1,London,6,5
Charlie Hotel,5.5,7.7,6.1,7.5,0,5.5,0,0,1,6.7,0,0,6.2,0,0,0,0,0,London,0,1
"Charlotte Street Hotel, Firmdale Hotels",9.1,9.6,9.8,9.3,0,9.2,0,1,1,7.8,1,1,9.5,1,0,0,0,1,London,4,2
The Apartments by The Sloane Club,9.1,9.8,9.5,9.3,1,9.2,0,0,1,8.7,1,1,9.5,1,0,1,0,1,London,3,4
The Courtfield Plaza,7.8,9.2,7.7,8.6,0,7.5,0,0,1,7.7,0,0,7.6,0,0,0,0,0,London,0,1
Park Lane Apartments Baker Street,6.9,9.4,7.6,7.8,0,7.3,0,0,1,7.1,0,1,7.9,0,0,1,0,1,London,2,2
Cozy 1 Bedroom Flat Paddington,7.3,8.6,7.4,8.4,0,7.5,0,1,1,6.5,0,0,7.3,0,0,0,0,0,London,1,1
Beautiful independent apartment in London UK,8.5,7.9,8.6,9.1,0,9.2,0,0,1,8.6,1,0,9.3,0,0,0,0,0,London,1,1
Grange Buckingham Hotel,7.6,9.1,8.1,8.7,0,7.4,0,0,1,8.0,0,1,8.0,0,0,0,0,1,London,2,1
The London EDITION,8.4,9.6,9.0,9.1,1,8.5,0,1,1,7.4,1,1,9.0,1,0,0,0,1,London,4,3
Glendale Hyde Park Hotel,6.3,8.5,6.6,7.7,0,6.3,0,0,1,6.5,0,0,6.8,0,0,0,0,1,London,1,1
SERCASA - Cleveland Residence - Fitzrovia,8.7,10.0,8.8,9.2,0,8.8,0,0,1,8.3,0,1,8.8,0,0,0,0,0,London,1,1
Generator London,6.9,8.7,7.0,8.1,1,7.0,0,1,1,7.4,0,1,7.1,0,0,1,1,1,London,3,4
Millennium Hotel London Knightsbridge,6.8,9.1,7.3,7.9,1,6.7,0,1,1,6.8,0,1,7.1,0,0,0,0,1,London,3,2
Gloucester Gardens,8.2,9.6,8.2,9.6,0,8.7,0,0,1,9.0,1,1,9.0,0,0,0,0,1,London,3,1
Britannia International Hotel Canary Wharf,5.8,8.0,6.5,7.0,1,6.0,0,1,1,6.3,1,1,6.5,0,0,0,1,1,London,4,3
EW Apartments,9.5,8.8,9.8,9.5,0,9.0,0,1,1,9.3,1,0,9.5,0,0,0,0,1,London,3,1
Victory House Leicester Square,7.9,9.5,8.6,8.7,0,7.8,0,0,1,7.8,0,1,8.4,0,0,0,1,1,London,2,2
Stylish Studio Apartment Camden,8.0,10.0,7.5,10.0,0,10.0,0,0,1,7.5,0,0,7.5,0,0,0,0,0,London,0,1
D8 - Shoreditch,7.7,8.8,8.4,7.9,0,7.8,0,0,1,7.7,0,1,8.4,0,0,0,0,1,London,2,1
Arch Hotel,6.9,8.3,7.4,8.1,1,7.0,0,0,1,7.4,1,0,7.4,0,0,0,0,0,London,1,2
Stratford city apartments,8.5,8.8,8.8,8.7,0,8.8,0,0,1,8.1,1,0,8.5,0,0,0,0,0,London,1,1
Tower Bridge Rainbow Suites,8.2,9.4,8.4,8.7,0,8.2,0,0,1,8.6,0,0,8.4,0,0,0,0,0,London,0,1
The Gresham Hotel,6.9,8.8,7.2,8.1,0,6.6,0,0,1,7.3,0,1,7.4,0,0,0,0,1,London,2,1
The Clarendon Hotel,8.0,9.0,8.4,9.0,0,7.9,0,1,1,7.9,0,1,8.5,0,0,1,1,1,London,3,3
The Chapter Hotels - Hyde Park,6.8,9.1,7.2,7.8,0,6.6,0,0,1,7.1,0,1,7.4,0,0,0,0,0,London,1,1
Mildmay Road Apartments,8.2,8.7,8.5,8.4,0,8.5,0,0,1,8.6,1,0,8.5,0,0,0,0,0,London,1,1
MSK Elite,8.0,9.2,8.3,8.6,1,8.0,0,1,1,8.0,0,1,8.4,0,0,0,0,1,London,3,2
MSK Premium,7.8,9.1,8.0,8.5,0,7.8,0,0,1,7.9,0,0,8.1,0,0,0,0,0,London,0,1
Walk to Notting Hill /Paddington 1 B/R with patio,7.6,9.2,7.0,8.2,0,7.5,0,0,1,7.6,0,0,7.4,0,0,1,0,0,London,0,2
OYO Bakers Hotel,7.3,8.9,7.5,8.2,1,7.2,0,0,1,7.8,0,0,7.5,0,0,0,0,0,London,0,2
Trebovir Hotel,7.7,9.1,7.9,8.6,0,7.5,0,0,1,7.8,0,1,8.1,0,0,0,0,1,London,2,1
Novotel London Canary Wharf,8.4,8.9,8.8,8.8,1,8.6,1,1,1,8.0,0,1,8.8,0,1,1,1,1,London,5,4
Dao by Dorsett West London,8.2,8.5,8.7,8.3,0,8.5,0,1,1,7.8,0,1,8.7,0,0,1,1,1,London,3,3
Pass the Keys Two-Storey Studio by Hyde Park,7.9,9.8,7.8,8.3,0,7.5,0,0,1,7.3,1,1,7.8,0,0,0,0,0,London,2,1
Flexistay Aparthotel Tooting,6.9,7.8,7.1,7.8,0,6.9,0,0,1,7.4,0,0,7.1,0,0,0,0,0,London,0,1
Superb Studios Next To Hyde Park,4.1,8.0,4.8,6.0,0,4.6,0,0,1,4.8,0,0,4.8,0,0,0,0,0,London,0,1
Streatham Common Bed & Breakfast,9.4,9.2,9.6,9.9,0,9.4,0,0,1,9.5,0,0,9.7,0,0,0,0,0,London,0,1
Absolute Clapham,7.7,8.9,7.7,8.2,0,7.9,0,0,1,7.8,0,0,7.8,0,0,0,0,1,London,1,1
easyHotel Paddington,4.7,8.1,5.4,7.6,1,4.8,0,0,1,5.8,0,0,5.4,0,0,0,1,0,London,0,3
NOX West Hampstead,8.2,8.9,8.6,8.3,0,8.5,0,1,1,8.3,0,0,8.7,0,0,0,0,1,London,2,1
Church Street Hotel,7.8,8.2,8.2,9.1,0,7.9,0,1,1,8.2,0,1,8.5,0,0,0,0,0,London,2,1
Charming Euston,6.5,8.8,6.3,8.8,0,6.3,0,0,1,7.5,0,0,8.8,0,0,0,0,0,London,0,1
Locke at Broken Wharf,8.9,9.4,9.3,9.5,1,9.1,0,1,1,8.8,0,1,9.4,0,0,1,1,0,London,2,4
Best Western Corona Hotel,7.2,8.8,7.6,8.9,1,7.1,0,0,1,7.1,0,1,7.7,0,0,0,0,1,London,2,2
Modern Private Apartment -Balcony-Tube Station,7.5,8.3,8.0,7.5,0,7.5,0,0,1,7.3,0,1,8.3,0,0,0,0,0,London,1,1
Guilford House Hotel,4.6,7.7,5.3,6.8,0,4.9,0,0,1,5.6,0,0,5.2,0,0,0,0,0,London,0,1
St Paul's Studios apartment,9.8,9.7,9.9,10.0,0,9.9,0,1,1,9.6,0,0,10.0,0,0,0,0,0,London,1,1
Crompton Court Apartments,7.9,8.2,8.3,8.4,0,7.9,0,0,1,8.4,0,1,8.3,0,0,0,0,1,London,2,1
Dreamtel London Kensington,6.4,8.7,6.7,8.1,0,6.4,0,0,1,6.8,0,1,6.8,0,0,0,0,0,London,1,1
Buckle Street Studios by Locke,8.6,9.2,9.0,9.3,1,8.7,0,0,1,8.5,0,1,9.0,0,0,1,1,0,London,1,4
The Melville Hotel Kings Cross,7.2,9.2,7.6,9.0,0,7.0,0,0,1,7.4,1,1,7.6,0,0,0,0,1,London,3,1
soho london suite,8.0,9.6,8.2,8.9,0,8.2,0,0,1,8.0,0,0,8.0,0,0,0,0,1,London,1,1
CLASSIC BRIXTON CITY APARTMENT,6.6,7.7,6.8,7.3,0,7.2,0,0,1,6.9,1,0,6.4,0,0,0,0,0,London,1,1
Canary Riverside Plaza Hotel,8.4,8.9,9.1,9.2,0,8.6,1,1,1,7.8,1,1,9.1,1,1,1,0,1,London,6,3
Green Rooms,7.2,8.5,7.5,8.8,0,7.1,0,1,1,7.7,0,1,7.6,0,0,1,1,0,London,2,3
The Bridge Hotel,7.4,8.6,7.6,8.8,0,7.3,0,0,1,7.9,0,1,7.8,0,0,0,0,1,London,2,1
Queens Luxury Apartments,8.9,7.9,9.1,9.4,0,8.9,0,0,1,8.8,0,0,9.4,0,0,0,0,0,London,0,1
London K W Hotel,5.8,7.8,6.6,7.6,0,5.8,0,0,1,6.6,0,0,6.5,0,0,1,0,0,London,0,2
Smart Russell Square Hostel,6.7,8.9,6.7,7.7,0,6.9,0,1,1,7.6,0,0,6.9,0,0,0,0,1,London,2,1
London Bridge Central Apartments,6.5,7.5,6.9,6.5,0,7.0,0,0,1,6.9,0,0,6.9,0,0,0,0,0,London,0,1
London Zone 2 Lovely 4 bedroom Apartment - 3 Trowbridge Road,7.1,7.8,6.7,7.7,0,6.8,0,0,1,7.4,1,0,7.1,0,0,0,0,0,London,1,1
Blades Hotel,7.0,8.9,7.2,8.7,0,6.5,0,0,1,7.1,0,0,7.7,0,0,0,0,0,London,0,1
Kingsland Locke,8.7,8.9,9.1,9.4,1,9.1,0,1,1,8.6,0,1,9.2,0,0,1,0,0,London,2,3
Earls Court Hotel,6.3,8.8,6.6,8.3,0,6.1,0,0,1,6.9,1,0,6.6,0,0,0,0,1,London,2,1
Large 3 bedroom apt sleeping up to 8 guests,5.7,6.7,5.4,5.8,0,5.8,0,0,0,4.6,1,0,5.4,0,0,0,0,0,London,1,0
Best Western Northfields Ealing Hotel,8.1,8.4,8.6,9.0,1,8.3,0,0,1,8.3,0,1,8.8,0,0,0,1,0,London,1,3
Counting House,8.9,9.4,9.4,9.2,0,9.0,0,1,1,8.8,0,1,9.3,0,0,0,1,1,London,3,2
Elegant Apartment in Chelsea,7.7,9.4,7.5,9.2,0,6.9,0,1,1,6.9,1,1,8.1,0,0,0,0,1,London,4,1
Avondale A,9.1,8.5,9.5,9.1,0,9.7,0,0,1,9.2,0,0,9.5,0,0,1,0,0,London,0,2
Well-Positioned Studio Flat,10.0,8.8,10.0,10.0,0,10.0,0,0,1,10.0,0,0,10.0,0,0,0,0,0,London,0,1
Sunborn London Yacht Hotel,8.0,8.7,8.8,8.4,0,8.1,0,1,1,7.6,0,1,8.8,0,0,0,0,1,London,3,1
F20- 4TH Floor Studio Fits 2 Near Paddington,6.2,8.3,7.5,7.8,0,6.4,0,0,1,6.4,0,0,6.4,0,0,0,0,0,London,0,1
Best Western Plus Delmere Hotel,8.3,9.2,8.7,9.1,1,8.4,0,1,1,8.1,1,1,8.8,0,0,0,0,1,London,4,2
Luxury 2-Bed Flat parking and close to the tube,8.6,8.5,8.4,9.1,0,8.5,0,0,1,8.4,1,0,8.8,0,0,0,0,1,London,2,1
Executive Apartments in Central London FREE WIFI,7.2,8.5,7.6,7.8,0,7.5,0,0,1,7.2,1,0,7.7,0,0,0,0,1,London,2,1
Karma Sanctum Soho Hotel,8.5,9.5,9.1,9.2,1,8.8,0,1,1,8.2,0,1,9.0,0,0,1,0,1,London,3,3
